agent,seed,run,wave_reached,actions,illegal,path_blocked,insufficient_gold,cell_occupied,no_moves_left,invalid_cell,wrong_phase,unknown_building,forced_end_turns,moves_used,gold_refunded,parse_failures,tokens
random,101,0,6,55,33,0,27,0,4,2,0,0,1,3,195,0,0
random,101,1,7,69,45,0,41,2,1,1,0,0,1,3,145,0,0
random,101,2,4,41,22,0,21,0,1,0,0,0,0,1,175,0,0
random,102,0,4,33,17,0,15,0,2,0,0,0,0,2,130,0,0
random,102,1,8,57,29,0,28,1,0,0,0,0,0,4,185,0,0
random,102,2,6,56,35,0,28,0,5,2,0,0,0,3,120,0,0
random,103,0,4,33,17,0,15,0,2,0,0,0,0,2,130,0,0
random,103,1,7,51,26,0,25,1,0,0,0,0,0,4,160,0,0
random,103,2,5,37,19,0,15,0,2,2,0,0,0,2,120,0,0
greedy,101,0,24,39,0,0,0,0,0,0,0,0,0,0,0,0,0
greedy,101,1,24,39,0,0,0,0,0,0,0,0,0,0,0,0,0
greedy,101,2,24,39,0,0,0,0,0,0,0,0,0,0,0,0,0
greedy,102,0,25,41,0,0,0,0,0,0,0,0,0,0,0,0,0
greedy,102,1,25,41,0,0,0,0,0,0,0,0,0,0,0,0,0
greedy,102,2,25,41,0,0,0,0,0,0,0,0,0,0,0,0,0
greedy,103,0,24,39,0,0,0,0,0,0,0,0,0,0,0,0,0
greedy,103,1,24,39,0,0,0,0,0,0,0,0,0,0,0,0,0
greedy,103,2,24,39,0,0,0,0,0,0,0,0,0,0,0,0,0
gemma,101,0,5,34,5,0,1,0,4,0,0,0,0,3,255,2,89302
gemma,101,1,6,32,3,0,1,0,2,0,0,0,0,3,235,1,86481
gemma,101,2,6,40,3,0,0,0,3,0,0,0,0,5,320,1,102761
gemma,102,0,8,38,3,0,0,0,3,0,0,0,0,5,270,3,110487
gemma,102,1,6,46,7,0,2,0,5,0,0,0,0,5,305,2,130123
gemma,102,2,6,43,5,1,0,0,4,0,0,0,0,6,315,1,110988
gemma,103,0,6,47,14,0,2,1,11,0,0,0,0,4,280,2,125184
gemma,103,1,7,31,3,0,3,0,0,0,0,0,0,5,130,2,87671
gemma,103,2,5,36,5,0,0,0,5,0,0,0,1,3,295,1,95758
qwen,101,0,8,18,3,0,3,0,0,0,0,0,0,0,0,0,26409
qwen,101,1,13,28,4,0,4,0,0,0,0,0,0,0,0,0,44599
qwen,101,2,13,25,2,0,2,0,0,0,0,0,0,0,0,0,39334
qwen,102,0,8,18,3,0,3,0,0,0,0,0,0,0,0,0,26196
qwen,102,1,8,20,5,0,5,0,0,0,0,0,0,0,0,0,30028
qwen,102,2,10,22,3,0,3,0,0,0,0,0,0,0,0,0,33660
qwen,103,0,20,42,6,0,6,0,0,0,0,0,0,0,0,0,74627
qwen,103,1,17,32,2,0,2,0,0,0,0,0,0,0,0,0,52922
qwen,103,2,7,17,3,0,3,0,0,0,0,0,0,0,0,0,24925
random+detailed,101,0,6,55,33,0,27,0,4,2,0,0,1,3,195,0,0
random+detailed,101,1,7,69,45,0,41,2,1,1,0,0,1,3,145,0,0
random+detailed,101,2,4,41,22,0,21,0,1,0,0,0,0,1,175,0,0
random+detailed,102,0,4,33,17,0,15,0,2,0,0,0,0,2,130,0,0
random+detailed,102,1,8,57,29,0,28,1,0,0,0,0,0,4,185,0,0
random+detailed,102,2,6,56,35,0,28,0,5,2,0,0,0,3,120,0,0
random+detailed,103,0,4,33,17,0,15,0,2,0,0,0,0,2,130,0,0
random+detailed,103,1,7,51,26,0,25,1,0,0,0,0,0,4,160,0,0
random+detailed,103,2,5,37,19,0,15,0,2,2,0,0,0,2,120,0,0
greedy+detailed,101,0,24,39,0,0,0,0,0,0,0,0,0,0,0,0,0
greedy+detailed,101,1,24,39,0,0,0,0,0,0,0,0,0,0,0,0,0
greedy+detailed,101,2,24,39,0,0,0,0,0,0,0,0,0,0,0,0,0
greedy+detailed,102,0,25,41,0,0,0,0,0,0,0,0,0,0,0,0,0
greedy+detailed,102,1,25,41,0,0,0,0,0,0,0,0,0,0,0,0,0
